Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group
LTBJ238,BUILDING,BUILDING,381751.619N,0270739.333E,550.14,9.84,NO INFO,,NO
LTBJ239,BUILDING,BUILDING,381829.028N,0270812.912E,545.28,60.52,NO INFO,,NO
LTBJ240,BUILDING,BUILDING,381750.543N,0270736.945E,584.56,9.84,NO INFO,,NO
LTBJ241,BUILDING,BUILDING,381753.271N,0270751.718E,554.69,10.37,NO INFO,,NO
LTBJ242,BUILDING,BUILDING,381750.372N,0270737.648E,575.26,9.84,NO INFO,,NO
LTBJ243,BUILDING,BUILDING,381829.453N,0270810.278E,550.99,60.58,NO INFO,,NO
LTBJ244,BUILDING,BUILDING,381829.297N,0270808.510E,553.56,54.97,NO INFO,,NO
LTBJ245,BUILDING,BUILDING,381829.445N,0270809.115E,543.68,48.67,NO INFO,,NO
LTBJ246,BUILDING,BUILDING,381752.843N,0270751.997E,551.30,10.31,NO INFO,,NO
LTBJ247,BUILDING,BUILDING,381829.308N,0270807.874E,546.73,45.31,NO INFO,,NO
LTBJ248,BUILDING,BUILDING,381730.856N,0270555.461E,851.25,9.84,NO INFO,,NO
LTBJ249,BUILDING,BUILDING,381829.656N,0270809.086E,554.12,59.69,NO INFO,,NO
LTBJ250,BUILDING,BUILDING,381829.518N,0270807.827E,557.67,56.56,NO INFO,,NO
LTBJ251,BUILDING,BUILDING,381829.862N,0270809.024E,543.14,50.69,NO INFO,,NO
LTBJ252,BUILDING,BUILDING,381829.785N,0270807.868E,546.86,44.51,NO INFO,,NO
LTBJ253,BUILDING,BUILDING,381749.956N,0270740.738E,548.89,9.84,NO INFO,,NO
LTBJ254,BUILDING,BUILDING,381830.436N,0270810.102E,541.38,53.46,NO INFO,,NO
LTBJ255,BUILDING,BUILDING,381730.191N,0270555.658E,848.15,9.84,NO INFO,,NO
LTBJ256,BUILDING,BUILDING,381830.646N,0270810.059E,552.85,64.87,NO INFO,,NO
LTBJ257,BUILDING,BUILDING,381830.929N,0270808.815E,546.31,55.25,NO INFO,,NO
LTBJ258,BUILDING,BUILDING,381830.799N,0270807.617E,551.76,48.79,NO INFO,,NO
LTBJ259,BUILDING,BUILDING,381747.832N,0270734.505E,633.19,9.84,NO INFO,,NO
LTBJ260,BUILDING,BUILDING,381831.133N,0270808.808E,557.52,65.31,NO INFO,,NO
LTBJ261,BUILDING,BUILDING,381831.006N,0270807.559E,562.37,60.49,NO INFO,,NO
